id,latitude,longitude,num_bus_2km,num_subway_2km,num_shop_2km,nearest_shop(m),num_restaurant_2km,neighbourhood_cleansed,room_type,accommodates,baths,beds,days,amenities,price,future_occupancy
45975746,49.26142,-123.1404,213,3,146,326.60568123693224,261,Fairview,Entire home/apt,2,1.0,1,382,17,120.0,0.667
9636681,49.28377,-123.1061,271,8,165,122.19158529510266,541,Downtown Eastside,Entire home/apt,2,1.0,1,3075,20,149.0,1.0
52666432,49.210186,-123.141876,103,3,45,127.27267933348703,49,Marpole,Entire home/apt,6,1.5,3,30,19,101.0,1.0
51152635,49.27454,-123.127823,318,10,159,79.53417631145452,744,Downtown,Entire home/apt,2,1.0,1,110,15,108.0,0.967
50017691,49.28093,-123.13215,261,8,154,77.76020847632677,642,West End,Entire home/apt,3,1.0,1,1052,9,104.0,1.0
49896211,49.26291,-123.04073,163,4,132,567.724165575632,44,Hastings-Sunrise,Private room,2,0.5,1,2648,15,60.0,1.0
51545996,49.2555,-123.12879,192,3,175,243.6932555578611,184,Shaughnessy,Private room,4,1.0,2,1006,20,213.0,0.167
45033132,49.28293,-123.11321,297,9,166,51.36764107132033,611,Downtown,Private room,4,1.0,2,2187,14,244.0,0.233
35974588,49.25904,-123.13314,207,4,170,387.7887612652978,256,Fairview,Entire home/apt,2,1.0,1,868,19,135.0,1.0
14028670,49.25898,-123.11866,220,4,183,226.42506887541379,328,Fairview,Entire home/apt,2,1.0,1,2078,20,140.0,1.0
46585029,49.27346,-123.14844,186,1,134,144.232704168159,361,Kitsilano,Entire home/apt,4,2.0,2,3101,15,149.0,0.7
25751097,49.21307,-123.13501,112,1,53,601.1456226476704,52,Marpole,Private room,2,1.0,1,1499,16,65.0,1.0
648026,49.26775,-123.06862,188,4,176,61.04233897985798,166,Grandview-Woodland,Entire home/apt,2,1.0,1,3752,20,84.0,1.0
43148884,49.28239,-123.10311,272,9,166,75.43990464191384,502,Downtown Eastside,Entire home/apt,4,1.0,2,2178,18,100.0,0.267
34209584,49.25821,-123.04656,188,6,139,129.82062163508277,96,Renfrew-Collingwood,Entire home/apt,4,1.0,2,947,19,75.0,0.567
41624861,49.27119,-123.07092,207,3,171,112.15621367219049,143,Grandview-Woodland,Private room,2,0.5,1,2107,17,99.0,1.0
19019070,49.25237,-123.09729,205,3,186,382.73073435952205,217,Riley Park,Entire home/apt,4,1.0,2,2941,20,118.0,0.9
